Trans. Date,Post Date,Description,Amount,Category
2/27/2019,2/28/2019,REI #56 PARADISE VAL PHOENIX AZ0828690560231649,317.46,Merchandise
2/28/2019,2/28/2019,KOHLS #0638 PHOENIX AZ,128.14,Department Stores
3/3/2019,3/5/2019,REI #56 PARADISE VAL PHOENIX AZ0887250560750266,-86.83,Payments and Credits
3/4/2019,3/4/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-9.49,Awards and Rebate Credits
3/4/2019,3/4/2019,CIRCLE K 03744 PHOENIX AZ00481R,38.95,Gasoline
3/7/2019,3/7/2019,GCU STUDENT UNION PHOENIX AZ,9.75,Education
3/7/2019,3/7/2019,INTERNET PAYMENT - THANK YOU,-388.23,Payments and Credits
3/8/2019,3/8/2019,GCU STUDENT UNION PHOENIX AZ,8.85,Education
3/9/2019,3/9/2019,TST* STATE 48 BREWERY - PHOENIX AZ,12.77,Restaurants
3/10/2019,3/10/2019,CHEVRON 0352103 SCOTTSDALE AZ00352103 0384142,3.05,Gasoline
3/10/2019,3/10/2019,TST* 5 & DINER 16TH PHOENIX AZ,14.92,Restaurants
3/13/2019,3/13/2019,STAPLES 00102632105 PHOENIX AZ,16.27,Merchandise
3/15/2019,3/15/2019,CVS/PHARMACY #08366 PHOENIX AZ,9.36,Merchandise
3/16/2019,3/16/2019,IN N OUT BURGER 160 PHOENIX AZ,8.15,Restaurants
3/18/2019,3/18/2019,LUCI'SHEALTHYMARKETPLACE PHOENIX AZ,17.9,Restaurants
3/18/2019,3/18/2019,TRADER JOE'S #090 QPS PHOENIX AZ,39.58,Supermarkets
3/26/2019,3/26/2019,INTERNET PAYMENT - THANK YOU,-140.6,Payments and Credits
3/26/2019,3/28/2019,KT VAL GAS STATION PHOENIX AZ,30,Gasoline
3/26/2019,3/28/2019,TRADER JOE'S #090 QPS PHOENIX AZ,32.64,Supermarkets
3/27/2019,3/28/2019,CAMELBACK VW MAZDA SUB PHOENIX AZ727366,100.43,Automotive
3/28/2019,3/28/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-6.96,Awards and Rebate Credits
4/1/2019,4/1/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,18.03,Supermarkets
4/1/2019,4/1/2019,LUCI'SHEALTHYMARKETPLACE PHOENIX AZ,7.05,Restaurants
4/2/2019,4/2/2019,GCU STUDENT UNION PHOENIX AZ,9.75,Education
4/2/2019,4/2/2019,INTERNET PAYMENT - THANK YOU,-156.11,Payments and Credits
4/2/2019,4/2/2019,TST* ZOOKZ - E CAMELBACK PHOENIX AZ,14.86,Restaurants
4/6/2019,4/6/2019,CHICO MALO PHOENIX AZ,40.67,Restaurants
4/6/2019,4/6/2019,KOHLS #0638 PHOENIX AZ,124.85,Department Stores
4/7/2019,4/7/2019,CORNISH PASTY PHOENIX AZ,13.5,Restaurants
4/7/2019,4/7/2019,TRADER JOE'S #090 QPS PHOENIX AZ,55.35,Supermarkets
4/12/2019,4/12/2019,INTERNET PAYMENT - THANK YOU,-284.06,Payments and Credits
4/13/2019,4/13/2019,AIRPORT RENT A CAR OF AT COLLEGE PARK GA,710.38,Travel/ Entertainment
4/17/2019,4/17/2019,INTERNET PAYMENT - THANK YOU,-300,Payments and Credits
4/17/2019,4/17/2019,INTERNET PAYMENT - THANK YOU,-100,Payments and Credits
4/22/2019,4/22/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,11.81,Supermarkets
4/22/2019,4/22/2019,JIMMY JOHNS - 1635 PHOENIX AZ,10.4,Restaurants
4/24/2019,4/24/2019,JIMMY JOHNS - 1635 PHOENIX AZ,10.51,Restaurants
4/24/2019,4/24/2019,TST* SIP COFFEE & BEER G PHOENIX AZ,10.13,Restaurants
4/25/2019,4/28/2019,CHIPOTLE 1684 PHOENIX AZ,1.52,Restaurants
4/25/2019,4/28/2019,OHSO BREWERY PHOENIX AZ,30.53,Restaurants
4/26/2019,4/26/2019,INTERNET PAYMENT - THANK YOU,-332.32,Payments and Credits
4/26/2019,4/28/2019,CIRCLE K 03744 PHOENIX AZ02658R,47.4,Gasoline
4/26/2019,4/28/2019,DUNKIN #356258 Q35 PHOENIX AZ,2.37,Restaurants
4/26/2019,4/28/2019,HELIO BASIN BREWING COMP PHOENIX AZ,24.36,Restaurants
4/26/2019,4/28/2019,THE WOMACK PHOENIX AZ,6,Restaurants
4/26/2019,4/28/2019,THE WOMACK PHOENIX AZ,7.43,Restaurants
4/27/2019,4/28/2019,PICAZZO'S ORGANIC ITAL SEDONA AZ02730R,20.93,Restaurants
4/27/2019,4/28/2019,TST* SIP COFFEE & BEER K SCOTTSDALE AZ,7.02,Restaurants
4/28/2019,4/28/2019,0155 FIRST WATCH PHOENIX AZ,17.53,Restaurants
